file,path,method,operationId,summary,tags
sop,/sop_orders/{sopOrderId}/sop_order_lines,GET,GetSOPOrderLinesForSOPOrder,Sales Order Lines For A Sales Order,SOP Order Lines
sop,/sop_orders/{sopOrderId}/sop_order_lines/{Id},GET,GetSOPOrderLineForSOPOrder,Sales Order Line From Sales Order,SOP Order Lines
sop,/sop_order_payment_types,GET,GetSOPOrderPaymentTypes,SOP Order Payment Types,SOP Order Payment Types
sop,/sop_order_return_invoice_credit_views,GET,GetSOPOrderInvoiceViews,Sales Order Return Invoice Credit Views,SOP Order Return Invoice Credit Views
sop,/sop_order_return_line_invoice_credit_views,GET,GetSOPOrderReturnLineInvoiceViews,Sales Order Return Line Invoice Credit Views,SOP Order Return Line Invoice Credit Views
sop,/sop_order_return_views,GET,GetSOPOrderReturnViews,SOP Order Return Views,SOP Order Return Views
sop,/customers/{customerId}/sop_orders,GET,GetSOPOrdersForCustomer,Sales Orders For A Customer,SOP Orders
sop,/sop_orders,GET,GetSOPOrders,Sales Orders,SOP Orders
sop,/sop_orders,POST,PostSOPOrder,Sales Orders,SOP Orders
sop,/sop_orders/{Id},DELETE,DeleteSOPOrder,Sales Order,SOP Orders
sop,/sop_orders/{Id},GET,GetSOPOrder,Sales Order,SOP Orders
sop,/sop_orders/{Id},PUT,PutSOPOrder,Sales Order,SOP Orders
sop,/sop_orders_new,POST,PostSOPOrdersNew,New Sales Order With Defaults,SOP Orders
sop,/sop_orders_new/{Id},PUT,PutSOPOrderNew,New Sales Order With Defaults,SOP Orders
sop,/sop_orders_duplicate,POST,PostSOPOrdersDuplicate,Duplicate Sales Order,SOP Orders Duplicate
sop,/sop_orders_status,POST,PostSOPOrdersStatus,SOP Orders Status,SOP Orders Status
sop,/sop_payment_methods,GET,GetSOPPaymentMethods,SOP Payment Methods,SOP Payment Methods
sop,/sop_payment_methods/{Id},GET,GetSOPPaymentMethod,SOP Payment Method,SOP Payment Methods
sop,/sop_proforma_line_views,GET,GetSOPProformaLineViews,SOP Pro Forma Line Views,SOP Pro Forma Line Views
sop,/sop_quote_line_views,GET,GetSOPQuoteLineViews,SOP Quote Line Views,SOP Quote Line Views
sop,/sop_quote_views,GET,GetSOPQuoteViews,SOP Quote Views,SOP Quote Views
sop,/sop_quotes,GET,GetSOPQuotes,Sales Quotes,SOP Quotes
sop,/sop_quotes,POST,PostSOPQuote,Sales Quotes,SOP Quotes
sop,/sop_quotes/{Id},DELETE,DeleteSOPQuote,Sales Quote,SOP Quotes
sop,/sop_quotes/{Id},GET,GetSOPQuote,Sales Quote,SOP Quotes
sop,/sop_quotes/{Id},PUT,PutSOPQuote,Sales Quote,SOP Quotes
sop,/sop_quotes_new,POST,PostSOPQuotesNew,New Sales Quote With Defaults,SOP Quotes
sop,/sop_quotes_new/{Id},PUT,PutSOPQuoteNew,New Sales Quote With Defaults,SOP Quotes
sop,/sop_quotes_duplicate,POST,PostSOPQuotesDuplicate,Duplicate Sales Quote,SOP Quotes Duplicate
sop,/sop_return_line_views,GET,GetSOPReturnLineViews,SOP Return Line Views,SOP Return Line Views
sop,/sop_return_receipt_line_views,GET,GetSOPReturnReceiptLineViews,SOP Receipt Line Views,SOP Return Receipt Line Views
sop,/customers/{customerId}/sop_returns,GET,GetSOPReturnsForCustomer,Sales Returns For A Customer,SOP Returns
sop,/sop_returns,GET,GetSOPReturns,Sales Returns,SOP Returns
sop,/sop_returns,POST,PostSOPReturn,Sales Returns,SOP Returns
sop,/sop_returns/{Id},DELETE,DeleteSOPReturn,Sales Return,SOP Returns
sop,/sop_returns/{Id},GET,GetSOPReturn,Sales Return,SOP Returns
sop,/sop_returns/{Id},PUT,PutSOPReturn,Sales Return,SOP Returns
sop,/sop_returns_new,POST,PostSOPReturnsNew,New Sales Return With Defaults,SOP Returns
sop,/sop_returns_new/{Id},PUT,PutSOPReturnNew,New Sales Return With Defaults,SOP Returns
sop,/sop_returns_duplicate,POST,PostSOPReturnsDuplicate,Duplicate Sales Return,SOP Returns Duplicate
sop,/sop_returns_status,POST,PostSOPReturnsStatus,SOP Returns Status,SOP Returns Status
sop,/sop_settings,GET,GetSOPSettings,SOP Settings,SOP Settings
sop,/sop_settings/{Id},GET,GetSOPSetting,SOP Setting,SOP Settings
sop,/sop_show_on_picking_list_types,GET,GetSOPShowOnPickingListTypes,SOP Show On Picking List Types,SOP Show On Picking List Types
sop,/sop_trade_line_status_types,GET,GetSOPTradeLineStatusTypes,Trade Line Status Types,SOP Trade Line Status Types
sop,/sop_user_permissions,GET,GetSOPUserPermissions,Invoice And Order User Permissions,SOP User Permissions
sop,/sop_user_permissions/{Id},GET,GetSOPUserPermission,Invoice And Order Permissions For A Single User,SOP User Permissions
sop,/suggested_products,POST,SuggestedProducts,Suggested Products,Suggested Products
